,Fold,MSE_DK,MSE_Deep,MSE_Wide,MSE_Baseline_DNN,MSE_DK_NX,MSE_Tuner,MAE_DK,MAE_Deep,MAE_Wide,MAE_Baseline_DNN,MAE_DK_NX,MAE_Tuner,Accuracy_DK,Accuracy_Deep,Accuracy_Wide,Accuracy_Baseline_DNN,Accuracy_DK_NX,Accuracy_Tuner
0,1,8.557279586791992,7.02780294418335,5.275272369384766,4.465034008026123,6.826947212219238,7.372470378875732,2.125537395477295,1.9597102403640747,1.7153329849243164,1.5122443437576294,1.9371843338012695,2.0354275703430176,0.8852459192276001,0.8852459192276001,0.9508196711540222,0.8524590134620667,0.9344262480735779,0.8852459192276001
1,2,7.560973167419434,6.244968891143799,6.740411281585693,3.8681607246398926,6.283989429473877,6.069931507110596,2.0424699783325195,1.9541903734207153,1.86639404296875,1.3847728967666626,1.85074782371521,1.8582262992858887,0.7540983557701111,0.9016393423080444,0.9016393423080444,0.9016393423080444,0.9508196711540222,0.7540983557701111
2,3,7.100275039672852,6.455118179321289,5.421473503112793,3.6329431533813477,7.791086673736572,6.1404290199279785,2.0872814655303955,2.0858848094940186,1.7463241815567017,1.4320191144943237,2.1588284969329834,1.949822187423706,0.8196721076965332,0.9180327653884888,0.9180327653884888,0.8360655903816223,0.9180327653884888,0.8524590134620667
3,4,4.796960830688477,5.215019702911377,5.557188987731934,3.325413942337036,4.573784351348877,5.679019451141357,1.7247154712677002,1.842376470565796,1.8871034383773804,1.3833420276641846,1.703269362449646,1.9552135467529297,0.868852436542511,0.9180327653884888,0.9344262480735779,0.9672130942344666,0.9508196711540222,0.8524590134620667
4,5,7.949059963226318,7.2627644538879395,7.4979119300842285,4.012678623199463,9.193105697631836,8.429179191589355,2.1285669803619385,2.006950855255127,1.8534008264541626,1.4855493307113647,2.333378553390503,2.208841323852539,0.868852436542511,0.9672130942344666,0.9344262480735779,0.868852436542511,0.8852459192276001,0.868852436542511
5,6,9.307012557983398,5.335536479949951,4.735510349273682,4.585158824920654,8.320332527160645,4.692171096801758,2.2830398082733154,1.7852898836135864,1.6701427698135376,1.6249573230743408,2.2250311374664307,1.6737425327301025,0.9166666865348816,0.949999988079071,0.9833333492279053,0.9333333373069763,0.949999988079071,0.9166666865348816
6,7,10.940508842468262,8.333846092224121,6.378777027130127,5.1281328201293945,10.732739448547363,9.38595199584961,2.306142568588257,2.1707849502563477,1.8016334772109985,1.6296695470809937,2.368968963623047,2.1425211429595947,0.949999988079071,0.949999988079071,0.949999988079071,0.9166666865348816,0.949999988079071,0.949999988079071
7,8,7.517965793609619,7.7047200202941895,6.564207077026367,5.392882347106934,10.739462852478027,7.345331192016602,2.2605066299438477,2.3535640239715576,2.1493916511535645,1.7996536493301392,2.6098978519439697,2.2630538940429688,0.8833333253860474,0.9666666388511658,0.9833333492279053,0.8999999761581421,0.9666666388511658,0.8833333253860474
8,9,6.261194705963135,7.430627346038818,6.098989486694336,5.103630542755127,8.960687637329102,8.633563041687012,1.890734314918518,2.159001588821411,1.820093035697937,1.7072843313217163,2.219848871231079,2.2728307247161865,0.8500000238418579,0.949999988079071,0.949999988079071,0.9166666865348816,0.949999988079071,0.8333333134651184
9,10,7.186948776245117,5.719405174255371,6.435965061187744,4.933853626251221,11.374296188354492,7.7979207038879395,2.1399214267730713,1.9238317012786865,2.044224977493286,1.728946566581726,2.719028949737549,2.3037784099578857,0.8500000238418579,0.8999999761581421,0.8666666746139526,0.8833333253860474,0.9666666388511658,0.8166666626930237
